loan_no,loan_date,default,balance,DSCR,campaign,interest,payment,total_income,loan_amount
103827,08/05/2021,no,22,4.085,Banking,9,3012.26,24609,144588
103858,19/11/2021,no,4943,2.078,Digital,5.122524561,5954.66,24749,107183
103900,09/07/2021,no,2030,10.629,Digital,2.3,623.29,13250,29917
104391,21/05/2021,no,849,5.045,Digital,2.55,2151.21,21707,103258
104395,04/07/2021,no,-333,4.055,Digital,6.613351364,3405.53,27619,61299
104428,13/04/2021,no,2355,22.483,Digital,3,242.01,10882,11616
104562,21/07/2021,no,1698,5.189,Digital,2.71,1865.86,19365,89561
104713,06/08/2021,no,1097,2.444,Digital,3.24880814,6062.53,29630,109125
104787,08/07/2021,no,33,3.349,Digital,1.79,8243.61,55208,395693
104895,15/05/2021,no,2,2.509,Digital,12.81053271,3118.34,15650,56130
105129,06/06/2021,no,379,4.536,Digital,10,2323.37,21078,111521
105214,31/07/2021,no,5331,1.741,Digital,7.929331363,4021.72,14007,144781
105265,07/05/2021,yes,-248,2.44,Digital,12.5625,7339.47,35813,352294
105532,29/05/2021,no,0,3.76,Digital,2.05,3525.75,26515,169236
105636,30/05/2021,no,159,3.612,Digital,2,3583.31,25888,171998
105865,09/05/2021,no,1376,4.178,Banking,8.25,4353.41,36373,208963
105975,29/07/2021,no,442,1.505,Digital,7.18999228,1304.9,3929,23488
105996,18/11/2021,no,932,2.689,Banking,1.8,10455.53,56224,501865
106241,12/05/2021,no,600,3.506,Banking,2.25,2610.01,18300,125280
106326,09/07/2021,no,0,4.003,Digital,13.335,3581.84,28679,171928
106544,08/07/2021,no,307,3.252,Digital,2.04,5600.51,36423,268824
106683,04/07/2021,no,126,3.268,Digital,8.193712565,5310.95,34717,95597
107224,12/06/2021,no,1347,3.174,Banking,3,5115.12,32471,245525
107361,21/05/2021,no,644,1.996,Digital,8.652930522,1848.04,7379,33264
107806,10/07/2021,no,5127,4.005,Digital,2.05,2941.43,23560,141188
107840,06/05/2021,no,84,2.468,Digital,11.04049249,1853.27,9148,66717
107874,09/07/2021,yes,-114,25.923,Digital,1.8,210.91,10935,10123
107959,04/06/2021,yes,0,6.077,Banking,2,1350.71,16417,64834
108040,11/05/2021,no,240,3.024,Digital,2.5,7538.1,45595,361828
108362,19/11/2021,no,57,2.715,Digital,1.5,8213.69,44596,394257
108518,03/07/2021,no,47,5.955,Digital,1.715,1139.48,13571,54695
108522,04/02/2021,no,0,4.081,Banking,2.385,4367.89,35653,209658
108976,19/08/2021,no,83,2.617,Digital,8.901499721,5923.55,31008,213247
108983,06/08/2021,no,651,2.632,Digital,2.241755708,2126,11190,76536
109081,17/07/2021,no,-797,7.274,Banking,13,940.11,13676,45125
109345,04/06/2021,no,563,9.233,Digital,2.09,754.12,13925,36197
109519,25/06/2021,no,57,3.116,Digital,14.585,3219.76,20065,154548
109539,21/11/2021,no,834,4.506,Digital,3,2312.15,20837,110983
109743,11/05/2021,no,36,2.214,Digital,5.669110542,4764.57,21102,171524
109752,05/02/2021,no,79,2.156,Digital,5.866369946,3377.63,14561,60797
109791,08/07/2021,no,-145,3.096,Digital,7.384378886,5776.17,35766,103971
110137,26/05/2021,no,-502,4.491,Digital,11.145,7653.96,68744,367390
110181,21/05/2021,no,392,4.735,Digital,10.13554446,1483.57,14050,26704
110376,19/11/2021,no,94,4.545,Digital,13.5,2270.86,20641,109001
110454,17/11/2021,no,4,17.187,Digital,1.465,323.06,11105,15506
110520,25/08/2021,no,17,3.78,Banking,5.5,3514.51,26570,168696
110729,27/05/2021,no,-118,4.786,Digital,2.415,1991.57,19062,95595
110778,06/02/2021,no,-125,4.133,Banking,10,3386.23,27988,162539
110797,21/11/2021,no,87,4.486,Banking,2.55,2180.58,19566,104667
110969,14/05/2021,no,1180,5.813,Banking,1.51,1396.87,16240,67049
111083,03/07/2021,no,-165,6.518,Banking,4.125,1178.58,15364,56571
111110,28/05/2021,no,604,3.495,Digital,2.51912939,7248.31,50669,130469
111218,20/11/2021,no,-272,2.673,Digital,2.432372301,2189.62,11706,39413
111482,13/08/2021,no,696,1.66,Digital,14.75454727,1349.82,4481,24296
111639,02/02/2021,no,1366,3.771,Digital,5.19882379,6292.24,47461,226520
111717,14/12/2021,no,592,3.942,Banking,2.75,3503.04,27620,168145
111913,20/11/2021,no,4654,28,Digital,9.25,199.14,11152,9558
112012,02/02/2021,no,879,2.169,Digital,11.17732711,7280.1,31580,131041
112307,14/05/2021,no,70,2.044,Digital,13.13884181,3504.85,14331,63087
112313,26/08/2021,yes,-51,5.833,Digital,5.085,1213.97,14161,58270
112347,02/02/2021,no,5,1.446,Digital,2.996158798,4459.09,12900,80263
112806,10/07/2021,no,966,2.353,Digital,5,6509.99,30630,312479
113110,18/05/2021,no,483,4.65,Digital,4.993338589,128.49,1195,2312
113117,27/08/2021,no,605,3.073,Banking,1.425,7138.33,43871,342639
113141,04/08/2021,no,1348,2.742,Banking,1.925,8179.81,44854,392630
113264,19/05/2021,no,3196,28.914,Banking,4.71,184.67,10679,8864
113488,09/02/2021,no,1089,4.233,Digital,12.34883136,3016.2,25533,108583
113631,17/11/2021,no,272,3.635,Digital,5,2695.54,19599,129385
113694,09/06/2021,no,603,2.308,Banking,11.5,7649.83,35313,367191
113744,29/08/2021,no,515,1.583,Digital,1.834583246,1496.91,4738,53888
113777,06/06/2021,yes,-488,3.003,Digital,5.5,10039.44,60288,481893
113783,28/07/2021,no,147,10.566,Banking,1.5,622.9,13163,29899
113860,05/05/2021,no,41,6.904,Digital,4.415,986.08,13616,47331
113865,15/04/2021,no,8112,2.017,Digital,1.85412092,4354.55,17564,156763
113896,15/05/2021,no,317,3.01,Banking,9.96,5486.25,33026,263340
114020,13/05/2021,no,100,2.929,Digital,5.755906238,613.35,3593,22080
114096,07/05/2021,yes,-94,3.206,Digital,2.465,5729.82,36741,275031
114665,07/05/2021,no,990,3.562,Banking,2.55,4735.15,33737,227287
114936,26/05/2021,no,-310,5.446,Digital,2.05,1651.54,17990,79273
115084,12/05/2021,no,0,29.91,Banking,13,177.03,10590,8497
115138,21/11/2021,no,985,1.631,Digital,14.73922868,8923.73,29111,321254
115236,18/08/2021,no,804,12.029,Digital,2.55,512.46,12329,24598
115283,16/07/2021,no,1323,63.665,Digital,1.425,81.34,10357,3904
115356,04/05/2021,no,1199,6.6,Digital,10.81919752,75.15,992,1352
115578,18/08/2021,no,456,3.584,Digital,10.125,4657.08,33379,223539
115711,18/08/2021,no,1798,3.286,Digital,12.625,8868.21,58287,425674
115715,07/08/2021,no,654,2.985,Digital,2,7997.38,47748,383874
115807,23/07/2021,no,0,1.898,Digital,5.140922478,267.6,1016,4816
115938,12/05/2021,no,449,9.76,Digital,4.585,703.48,13732,33767
116107,21/08/2021,yes,0,3.739,Digital,2.205353964,1362.14,10187,24518
116208,28/05/2021,no,739,3.559,Digital,1.505,3539.79,25193,169909
116236,27/06/2021,no,-618,4.492,Banking,2.55,2740.19,24616,131529
116334,05/03/2021,no,651,2.159,Digital,14.39104607,1160.19,5009,20883
116393,21/11/2021,yes,0,6.61,Digital,2.5,1165.18,15403,55928
116432,20/11/2021,no,7119,34.903,Banking,7.5,154.57,10790,7419
116705,05/05/2021,no,173,7.088,Digital,1.530300199,85.71,1215,3085
116758,02/06/2021,no,143,7.624,Digital,5.5,1019.88,15551,48954
116761,18/08/2021,no,0,2.274,Digital,3.548075778,5866.54,26678,211195
116889,21/05/2021,no,1176,1.848,Digital,14.23175299,4674.27,17279,168273
117592,07/05/2021,no,22,4.081,Banking,1.5,3064.7,25017,147105
117632,27/05/2021,no,557,3.827,Digital,6,2669.39,20432,128130
117721,12/08/2021,no,378,6.402,Banking,10.5,1204.69,15425,57825
117759,22/08/2021,no,573,8.051,Digital,1.465,855.96,13783,41086
117958,19/11/2021,no,264,7.529,Digital,1.59,903.2,13601,43353
117991,11/05/2021,no,491,12.209,Banking,1.55,493.52,12051,23688
118153,12/06/2021,no,523,2.551,Digital,2.636552388,700.19,3573,12603
118204,29/01/2021,no,569,1.783,Digital,3.335740763,143.32,511,2579
118266,25/08/2021,no,-68,2.806,Digital,1.55,6658.59,37373,319612
118610,05/05/2021,no,-522,1.991,Digital,2.567616223,215.72,859,3882
118617,06/06/2021,no,-56,3.069,Digital,11.94454473,5943.01,36481,106974
118662,28/07/2021,no,163,3.287,Digital,9.25,9053.19,59521,434553
118669,17/07/2021,no,922,16.152,Digital,1.885,345.69,11167,16593
119018,19/11/2021,no,538,1.775,Digital,2.459438191,8455.78,30010,152204
119119,21/11/2021,no,102,2.701,Digital,2.5,4290.62,23176,205949
119182,06/06/2021,no,1012,1.727,Digital,2.217081477,5247.58,18130,94456
119405,08/07/2021,no,-688,1.892,Digital,10.75461996,5098.5,19292,91773
119609,28/07/2021,no,794,4.451,Digital,10.75,2495.53,22216,119785
119966,25/07/2021,no,-160,24.884,Digital,1.885,225.87,11241,10841
120050,06/02/2021,no,-538,1.666,Digital,11.70091841,4683.55,15610,84303
120054,12/05/2021,no,380,4.486,Digital,1.59,2378.34,21338,114160
120808,18/07/2021,no,4145,2.954,Digital,3,6292.43,37177,302036
120868,09/02/2021,no,322,31.194,Digital,1.54,173.35,10815,8320
120952,17/04/2021,no,442,3.289,Banking,1.885,5564.48,36598,267095
121092,26/05/2021,no,5151,9.328,Digital,2.425,741.71,13838,35602
121197,30/05/2021,no,1807,3.894,Digital,3,4310.64,33571,206910
121639,18/07/2021,no,39,3.28,Banking,2.55,4761.6,31237,228556
121684,13/05/2021,no,774,6.217,Digital,4.438429224,1338.03,16637,64225
121751,06/06/2021,no,-204,9.276,Digital,1.76,675.64,12534,32430
121755,05/02/2021,no,287,5.818,Digital,9.625,1470.81,17114,70598
121936,24/07/2021,no,290,4.152,Banking,2.3,2370.38,19683,113778
122074,13/08/2021,no,3363,3.074,Banking,0,4409.66,27109,211663
122188,20/06/2021,no,550,4.821,Digital,2.385,2239.68,21593,107504
122260,31/07/2021,no,-466,2.756,Digital,7.471463706,4855.26,26765,233052
122449,12/05/2021,no,210,4.009,Digital,3.589299795,3056.64,24511,110039
122566,26/05/2021,no,2070,3.198,Banking,2.55,7119.3,45540,341726
122595,16/07/2021,no,1228,1.768,Digital,1.771732785,5265.78,18619,189568
122676,19/05/2021,no,705,4.865,Digital,11.76060122,938.21,9129,16887
122779,02/06/2021,no,691,24.969,Digital,1.5,218.89,10931,10506
123014,29/08/2021,no,0,4.427,Digital,5.546649679,8225.45,72830,296116
123217,21/08/2021,no,109,11.437,Digital,4,552.65,12641,26527
123352,14/05/2021,no,1156,18.175,Digital,2.175,314.22,11422,15082
123455,19/11/2021,no,2430,2.346,Digital,2.52098616,7843.65,36809,141185
123617,29/01/2021,no,326,5.817,Banking,6.5,1476.51,17179,70872
123658,29/07/2021,no,933,2.462,Digital,10.42084872,2023.57,9964,72848
123915,10/07/2021,no,8079,4.843,Digital,4.055438194,4795.04,46443,86310
123985,17/11/2021,no,191,6.597,Banking,9.75,1259.17,16614,60440
124001,21/11/2021,yes,0,6.22,Banking,1.675,1312.49,16328,62999
124023,28/05/2021,no,8298,3.41,Digital,9,4775.19,32563,229209
124091,25/07/2021,no,3195,2.057,Digital,3.034947226,1094.89,4505,19708
124262,04/02/2021,no,655,3.096,Digital,13.45897421,5607.97,34726,100943
124298,21/07/2021,no,0,3.099,Digital,3.085,5635.34,34926,270496
124417,05/02/2021,no,357,2.099,Digital,9.982972045,5034.5,21130,90621
124466,05/06/2021,no,380,1.959,Digital,7.562247716,3241.16,12698,116681
124707,22/07/2021,no,1336,6.458,Digital,2.04,1176.91,15201,56491
125059,13/05/2021,no,292,4.363,Digital,9.371072694,2906.49,25363,52316
125250,10/07/2021,no,0,8.18,Digital,3.54,893.59,14619,42892
125265,07/05/2021,no,2179,3.513,Banking,4.165,5228.55,36734,250970
125354,05/06/2021,no,-572,1.724,Digital,1.841103057,590.61,2037,10630
125808,14/05/2021,no,-182,3.736,Digital,9.0625,4939.12,36903,237077
125998,06/05/2021,no,0,4.616,Digital,7.097258352,835.2,7710,30067
126151,13/05/2021,no,139,3.865,Digital,6.5,3243.09,25071,155668
126239,04/02/2021,no,627,4.102,Banking,9.75,4011.86,32916,192569
126291,21/11/2021,no,1,4.387,Digital,1.54,1903.46,16702,91366
126304,02/06/2021,no,101,9.442,Banking,2.085,708.83,13385,34023
126342,14/07/2021,no,409,2.363,Digital,10.04335741,4145.68,19589,74622
126362,13/05/2021,yes,57,2.178,Digital,1.969302103,4012.62,17475,72227
126369,08/05/2021,no,419,4.841,Banking,2.3,2308.66,22351,110815
126380,03/06/2021,no,255,8.027,Digital,2.5,826.74,13273,39683
126710,07/05/2021,no,98,4.805,Digital,7.5,1568.3,15070,75278
126722,26/05/2021,no,4063,19.954,Banking,12,271.45,10833,13029
126852,07/08/2021,no,319,1.529,Digital,11.59090665,1068.38,3267,19230
126885,23/07/2021,no,0,2.461,Digital,4.5,7163.85,35267,343864
126901,21/11/2021,no,997,3.83,Banking,2.135,3063.36,23467,147041
127024,15/05/2021,no,6659,2.916,Digital,1.465,6526.66,38065,313279
127036,20/04/2021,no,0,3.771,Banking,2.05,2894.77,21834,138948
127222,22/10/2021,no,527,4.403,Digital,1.452749988,2092.93,18431,75345
127228,25/07/2021,no,-62,5.508,Digital,9.415,1715.13,18893,82326
127290,06/05/2021,no,0,4.512,Digital,5.014530874,2916.46,26317,104992
127316,30/07/2021,no,-174,4.877,Digital,10.77830784,3219.8,31408,115912
127511,28/07/2021,no,643,3.296,Digital,9.17,5763.25,37992,276636
127533,11/05/2021,no,254,3.294,Digital,1.5,8819.64,58111,423342
127571,25/07/2021,no,786,3.753,Banking,1.675,6115.36,45897,293537
127661,29/07/2021,no,193,5.206,Digital,3.54,2006.64,20892,96318
127887,14/05/2021,no,512,32.305,Banking,8.46,167.05,10793,8018
127952,15/05/2021,no,217,2.961,Digital,4,4999.3,29607,239966
128284,05/05/2021,no,80,4.721,Digital,2.218771477,8885.49,83903,159938
128357,08/04/2021,no,1048,3.646,Digital,1.689127169,2116.7,15437,38100
128419,05/05/2021,yes,447,1.799,Digital,7.246939535,1059.02,3810,19062
128486,27/05/2021,no,1539,4.247,Banking,1.76,3284.48,27900,157655
128520,18/08/2021,no,0,4.363,Digital,1.88,2656.15,23177,127495
128772,24/07/2021,no,4,3.772,Digital,1.84,3604.77,27191,173028
128916,27/08/2021,no,105,2.239,Digital,2.835,8633.27,38662,414396
128946,10/07/2021,no,791,4.008,Digital,12.61492584,4232.15,33923,152357
129135,23/07/2021,no,1449,3.042,Digital,11,7902.61,48083,379325
129152,21/11/2021,no,15,3.633,Digital,4,3781.1,27472,181492
129409,30/05/2021,no,333,1.302,Digital,11.665,541.54,1410,9747
129423,19/11/2021,no,-343,3.662,Digital,6.447561096,1133.04,8298,20394
129576,08/04/2021,no,1725,2.954,Digital,2.385,8422.41,49762,404275
129595,19/11/2021,no,142,4.403,Digital,6.186197261,2598.33,22879,46769
129697,29/07/2021,no,467,3.221,Digital,1.675,6192.15,39896,297223
129804,31/07/2021,no,153,3.506,Digital,5.625,3691.51,25885,177192
129932,05/05/2021,no,2160,91.195,Digital,1.75,56.5,10305,2712
130206,18/11/2021,no,337,5.736,Digital,6.5,1659.43,19037,79652
130473,26/05/2021,no,-331,2.187,Digital,7.506014251,3172.16,13873,114197
130711,17/06/2021,no,7388,20.603,Digital,1.665,273.31,11262,13118
130816,08/07/2021,no,37,4.983,Digital,2.529578959,6478.34,64563,233220
130940,21/11/2021,no,39,4.901,Digital,1.84,1551.05,15202,74450
131092,20/11/2021,no,-195,10.615,Digital,4.04,556.87,11822,26729
131239,05/05/2021,no,0,9.324,Banking,14.5,745.95,13910,35805
131395,04/07/2021,no,1347,2.15,Digital,14.88882326,510.99,2197,18395
131465,20/06/2021,no,142,3.094,Digital,5.382440277,918.84,5685,16539
131529,23/05/2021,no,687,3.503,Digital,5.328734381,9846.6,68984,354477
131816,25/07/2021,no,377,2.608,Digital,2.3,4696.98,24495,225455
131824,19/05/2021,no,1147,3.229,Banking,4.585,5109.64,32993,245262
132064,30/07/2021,no,391,2.556,Digital,7.068101808,9208.02,47066,165744
132303,12/05/2021,no,323,2.144,Banking,1.465,10914.18,46803,523880
132506,20/04/2021,no,2289,4.119,Digital,5.96485479,3582.71,29515,171970
132732,08/05/2021,no,1243,4.985,Digital,9,1942.64,19367,93246
132806,11/05/2021,no,869,6.954,Banking,12.5,1227.65,17075,58927
132983,04/02/2021,no,320,3.867,Banking,2,4188.95,32400,201069
133019,14/08/2021,no,347,4.878,Digital,4.584258396,471.34,4598,16968
133302,06/02/2021,yes,-435,1.593,Digital,12.04388067,1912.46,6095,68848
133364,20/05/2021,no,14,2.93,Digital,2.55,5734.54,33609,275257
133421,07/07/2021,no,383,4.624,Digital,9.161463724,1471.2,13607,26481
133769,29/07/2021,no,2,1.557,Digital,5.783013457,931.41,2900,33530
133898,03/02/2021,no,1844,2.831,Banking,2.5,9960.34,56395,478096
134180,07/07/2021,no,0,3.213,Digital,1.425,6739.53,43313,323497
134249,03/03/2021,no,523,3.599,Digital,8.710744395,974.35,7013,17538
134295,30/01/2021,no,-51,2.362,Digital,2.332869479,667.21,3152,24019
134390,30/05/2021,no,437,3.275,Digital,4.164102035,5168.04,33854,93024
135013,05/05/2021,no,0,2.651,Digital,7.3429975,2374.79,12590,85492
135031,15/05/2021,no,-378,3.246,Banking,2.34,5298.84,34401,254344
135034,21/11/2021,no,43,3.253,Digital,12.82157261,6114.84,39784,220134
135197,09/07/2021,no,-754,2.482,Digital,1.54,8201.11,40705,393653
135299,05/02/2021,no,-212,4.12,Digital,9,2917.58,24039,140043
135307,17/07/2021,no,-11,2.792,Digital,1.84,7505.26,41912,360252
135376,03/06/2021,no,265,2.061,Digital,1.691434688,5963.93,24585,107350
135409,20/04/2021,no,483,1.738,Digital,3.229505464,2541.53,8835,45747
135448,05/06/2021,no,2419,4.4,Digital,9.834495079,135.57,1193,2440
135518,27/05/2021,no,542,8.481,Digital,2.357349475,794.96,13484,38158
135553,13/08/2021,no,-31,12.875,Digital,8.5,475.31,12239,22814
135554,02/02/2021,no,37,2.888,Digital,11.18474479,909.7,5255,16374
135578,09/07/2021,no,154,4.097,Digital,1.553294933,5770.31,47285,103865
135717,11/05/2021,no,-17,4.589,Digital,2.75,1870.14,17163,89766
135828,17/04/2021,no,884,1.914,Digital,3.764477512,3515.66,13460,63281
136019,07/05/2021,no,1304,3.413,Digital,1.51,5512.53,37634,264601
136400,16/05/2021,no,67,9.121,Digital,2.175,750.45,13690,36021
136413,25/08/2021,no,272,3.356,Digital,14.585,3919.25,26308,188124
136511,03/04/2021,no,1636,3.462,Digital,2.75,4736.84,32794,227368
136768,18/11/2021,no,1356,1.897,Digital,4.961826257,1687.41,6402,30373
136797,11/05/2021,no,0,3.773,Banking,2.5,2298.82,17349,110343
136835,15/07/2021,no,0,1.844,Digital,10,361.14,1332,17334
136896,15/07/2021,no,19,3.924,Digital,2.175,3161.09,24810,151732
136999,27/05/2021,no,-549,4.291,Digital,1.885,2673.54,22945,128329
137219,18/05/2021,no,1354,3.183,Digital,2.875,3146.32,20030,151023
137368,15/03/2021,no,6046,2.003,Digital,11.68541991,7558.46,30272,272104
137690,22/03/2021,no,436,1.579,Digital,3.676949923,901.91,2849,16234
137723,07/07/2021,no,193,14.112,Digital,1.75,433.7,12241,20817
137880,09/07/2021,no,0,24.558,Digital,2.05,228.11,11204,10949
137888,26/05/2021,no,174,21.734,Digital,3.165,250.34,10882,12016
138040,21/07/2021,no,375,7.705,Banking,1.425,935.9,14422,44923
138062,19/06/2021,no,98,4.668,Digital,2.415,2205.36,20588,105857
138077,26/05/2021,no,193,3.086,Digital,3,7203.17,44453,345752
138737,29/07/2021,no,2044,2.456,Digital,5.5,7188.47,35303,345046
139035,13/05/2021,no,168,2.767,Digital,1.465,4698.89,26000,225546
139053,25/07/2021,no,41,1.6,Digital,14.38062113,8185.64,26187,147341
139101,12/08/2021,no,1579,11.936,Banking,1.675,523.77,12503,25140
139246,20/06/2021,no,9103,6.408,Banking,12.5,1147.32,14705,55071
139755,15/07/2021,no,287,3.825,Banking,2.51,3245.16,24827,155767
139860,02/02/2021,no,977,10.572,Digital,5,588.59,12445,28252
139877,17/06/2021,yes,0,19.43,Banking,2.05,293.74,11415,14099
140236,14/05/2021,no,-330,3.506,Digital,2,2532.39,17757,121554
140296,21/11/2021,no,1784,2.91,Digital,11.03952106,1531.17,8911,55122
140635,15/07/2021,no,0,16.098,Digital,10,361.06,11625,17330
140655,15/07/2021,no,7051,2.246,Digital,4.631676718,592.76,2663,21339
140875,22/08/2021,no,447,4.277,Digital,2.426869254,2215.89,18954,79772
140945,20/04/2021,no,0,2.813,Digital,9.5,4610.76,25943,221316
140962,01/07/2021,no,652,2.315,Digital,7.936572433,6574.46,30440,315574
141303,29/10/2021,no,372,2.389,Digital,6.537183464,3182.63,15204,114574
141466,04/06/2021,no,114,7.839,Digital,1.465,951.79,14923,45685
141667,10/07/2021,no,0,2.459,Digital,2.465,5803.49,28536,278567
141703,20/11/2021,no,5768,6.72,Banking,1.34,1134.46,15248,54454
141730,17/04/2021,no,1065,1.686,Digital,5.171703575,6047.01,20388,108846
141794,20/04/2021,no,378,4.484,Digital,3.174505316,2717.03,24368,130417
141855,03/07/2021,no,3,1.761,Digital,14.70928008,6541.91,23039,117754
141902,19/11/2021,no,-367,3.601,Banking,2.425,3672.51,26449,176280
142747,08/04/2021,no,655,9.157,Digital,3.5,756.02,13846,36288
142948,21/10/2021,no,371,3.086,Digital,3.375,9084.85,56078,436072
143124,16/05/2021,no,523,3.113,Digital,2.55,3498.77,21780,167940
143353,09/07/2021,no,9,4.641,Digital,10.49017738,8525.91,79134,153466
143404,29/01/2021,no,1820,3.421,Digital,11.585,4728.58,32357,226971
143505,20/05/2021,no,2429,3.687,Digital,3,4243.62,31290,203693
143711,30/01/2021,no,-71,28.271,Digital,14,194.67,11007,9344
143713,08/05/2021,no,607,4.135,Digital,8.864248808,378.86,3133,13638
143962,08/07/2021,no,218,2.677,Digital,3.44135756,3758.79,20123,67658
144141,02/02/2021,no,633,3.405,Digital,12.5,2986.44,20339,143349
144236,18/07/2021,no,0,5.016,Digital,12.5,1915.09,19212,91924
144377,15/05/2021,no,3649,3.039,Digital,7.051629603,1322.33,8036,47603
144479,02/04/2021,no,5399,4.836,Digital,7.45504321,5575.49,53925,200717
144623,25/08/2021,no,490,3.363,Digital,2.153243248,1587.29,10677,28571
144631,07/07/2021,no,218,3.348,Digital,1.820326739,2245.55,15037,40419
144670,08/08/2021,no,8119,2.159,Digital,10.79012824,2900.22,12526,104407
145036,29/07/2021,no,-495,10.716,Banking,1.5,577.66,12380,27727
145057,05/06/2021,no,-3,25.973,Digital,9.5,215.22,11180,10330
145072,20/05/2021,no,877,11.701,Digital,10.75,548.52,12836,26328
145218,17/07/2021,no,320,3.529,Digital,2.55,4533.42,31996,217604
145259,16/07/2021,no,119,4.504,Digital,14.66844214,3175.56,28605,57160
145457,30/07/2021,no,5,2.323,Digital,14.07060893,754.94,3508,13588
145551,23/05/2021,no,511,1.859,Digital,13.1332391,1741.76,6477,31351
145557,28/05/2021,no,218,3.181,Digital,1.323176466,5111.29,32522,92003
145749,28/01/2021,no,-607,9.956,Digital,1.84,663.76,13217,31860
145768,21/11/2021,no,15423,38.009,Digital,1.84,139.6,10612,6700
145957,28/05/2021,no,53,2.008,Digital,8.179672562,230.32,925,4145
146639,23/07/2021,no,-221,1.578,Digital,14.67551518,183.45,579,3302
146904,07/08/2021,no,171,4.403,Digital,11.5,2467.23,21724,118427
146918,19/11/2021,no,1175,3.788,Digital,6.5,2397.08,18160,115059
147210,17/11/2021,no,1143,2.164,Digital,13.79795144,3100.28,13418,55805
147300,30/01/2021,no,3204,7.806,Digital,2.04,987.68,15419,47408
147407,04/07/2021,no,655,2.376,Digital,13.0036462,2281.98,10843,41075
147718,07/05/2021,no,0,6.082,Digital,2.05,1212.1,14744,58180
147802,04/07/2021,no,-401,19.457,Banking,1.465,298.02,11597,14304
148111,04/07/2021,no,36,2.493,Digital,10.85123632,9367.7,46703,168618
148281,12/06/2021,no,734,24.574,Digital,5.25,222.06,10914,10658
148340,04/02/2021,no,195,3.255,Digital,7.54,6295.19,40979,302169
148394,02/02/2021,no,-42,36.379,Digital,12.75,149.48,10876,7175
148404,31/07/2021,no,2677,2.67,Digital,13.2505183,7521.29,40170,270766
148407,25/06/2021,no,25,6.115,Digital,1.47,1386.44,16957,66549
148411,13/05/2021,no,7444,2.171,Digital,5.838111147,4489.5,19497,80811
148420,16/07/2021,yes,381,13.026,Banking,1.5,467.85,12188,22456
148602,31/07/2021,no,188,3.413,Banking,1.54,4448.06,30363,213506
148657,18/08/2021,no,431,2.746,Digital,2.743499803,1283.43,7048,46203
148722,13/05/2021,no,-491,4.08,Banking,1.885,2950.77,24081,141636
149475,07/05/2021,no,1085,3.655,Digital,3.318970694,309.34,2261,5568
149565,21/05/2021,no,0,32.079,Digital,1.425,166.65,10692,7999
149590,08/02/2021,no,3000,4.79,Banking,2.385,2162.67,20718,103808
149591,01/06/2021,no,2851,9.627,Digital,10.915,621.81,11972,29846
149794,30/06/2021,no,2239,4.888,Digital,14.59153314,1920.19,18772,34563
149929,13/05/2021,no,143,1.746,Digital,10.20034061,579.72,2024,10434
149943,06/02/2021,no,195,4.085,Digital,1.687562749,3939.73,32185,70915
149974,16/07/2021,no,158,3.799,Digital,10.89420137,5272.21,40053,94899
150068,12/03/2021,no,951,2.48,Banking,2.25,8853.11,43916,424949
150138,16/06/2021,no,7,4.246,Digital,4.63450704,5787.44,49150,208347
